2021-04-03 11:25:25 info: 	Server is listening on port 8080 
2021-04-03 11:25:28 info: 	Mongoose Connected: cluster0-shard-00-01.raai7.mongodb.net 
2021-04-03 11:25:43 info: 	Server is listening on port 8080 
2021-04-03 11:25:46 info: 	Mongoose Connected: cluster0-shard-00-02.raai7.mongodb.net 
2021-04-03 11:25:52 info: 	Server is listening on port 8080 
2021-04-03 11:25:54 info: 	Mongoose Connected: cluster0-shard-00-02.raai7.mongodb.net 
2021-04-03 11:25:58 info: 	Server is listening on port 8080 
2021-04-03 11:26:01 info: 	Mongoose Connected: cluster0-shard-00-02.raai7.mongodb.net 
2021-04-03 11:26:17 info: 	Server is listening on port 8080 
2021-04-03 11:26:19 info: 	Mongoose Connected: cluster0-shard-00-02.raai7.mongodb.net 
2021-04-03 11:26:31 info: 	Server is listening on port 8080 
2021-04-03 11:26:34 info: 	Mongoose Connected: cluster0-shard-00-00.raai7.mongodb.net 
2021-04-03 11:27:01 info: 	Server is listening on port 8080 
2021-04-03 11:27:04 info: 	Mongoose Connected: cluster0-shard-00-02.raai7.mongodb.net 
2021-04-03 11:27:36 info: 	Server is listening on port 8080 
2021-04-03 11:27:38 info: 	Mongoose Connected: cluster0-shard-00-02.raai7.mongodb.net 
2021-04-03 11:29:49 info: 	Server is listening on port 8080 
2021-04-03 11:29:52 info: 	Mongoose Connected: cluster0-shard-00-00.raai7.mongodb.net 
